,Lieu,Lat,Lon
235,Φθλα,26.919206,31.40847
236,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
237,ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
238,ἐπὶ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
239,τῇ Ἑρμουπολιτῶν̣ πόλει,27.7756214,30.8047827
240,ἀπὸ κώμης Ἀφροδίτη̣ς,26.833145,31.416623
241,κώμης Ἀφροδίτης,26.833145,31.416623
242,ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
243,κώμης Ἀ̣φ̣ροδίτης,26.833145,31.416623
244,ἐπὶ κώμη̣ς̣ Ἀφροδίτης,26.833145,31.416623
245,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
246,ἀπ̣ὸ κώμη̣ς Ἀφροδίτης,26.833145,31.416623
247,ἀ̣π̣ὸ τῆς αὐτῆς κώ̣μης Ἀ̣φ̣ροδίτη̣ς̣,26.833145,31.416623
248,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
249,ἀπὸ κώμης Ἀφροδ̣ίτης,26.833145,31.416623
250,ἀπὸ κώμης Ἀφρ̣ο̣δίτης,26.833145,31.416623
251,Ἀφροδίτης,26.833145,31.416623
252,εἰς Ἀντινόου,27.8105625,30.8810025
253,Ἀνταίου,26.8992835,31.517443
254,Ἀφροδίτης,26.833145,31.416623
255, κώμ̣η̣<ς>? Ἀ̣φ̣ροδίτης,26.833145,31.416623
256,ἀπὸ Ἀφροδίτης τῆς κώμης ,26.833145,31.416623
257,ἐπὶ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
258,ἀ̣π̣ὸ Ἀφροδίτης,26.833145,31.416623
259,κώμης Φθλα,26.919206,31.40847
260,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
261,τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
262,Ἀνταίου̣,26.8992835,31.517443
263,Ἀφροδίτης,26.833145,31.416623
264,Ἀν̣τ̣α̣ί̣ου,26.8992835,31.517443
265,ἀπὸ Ψιναβλα,26.653194,31.600403
266,κώμη Ἀφροδίτης?,26.833145,31.416623
267,εἰς Ἀντινόου πόλιν,27.8105625,30.8810025
268,εἰς Ἀντινόου,27.8105625,30.8810025
269,εἰς Ἀντινόου,27.8105625,30.8810025
270,εἰς Ἀν̣τινόου,27.8105625,30.8810025
271,ε̣ἰς Ἀντινόου,27.8105625,30.8810025
272,Ἀνταίου,26.8992835,31.517443
273,εἰς τὴν Ἀφροδ̣ί̣τ̣η̣ν̣,26.833145,31.416623
274,κώμης Ἀφροδίτης,26.833145,31.416623
275,ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
276,ἀπὸ Ἀφροτίτη̣ς sic,26.833145,31.416623
277,κώμης Φθαλ sic,26.919206,31.40847
278,ε̣ἰς τ̣ὴν̣ Ἀλεξ̣αν̣δ̣ρ̣έων μεγαλόπολιν,31.1982456667,29.9079146667
279,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
280,εἰς τὴν μεγαλόπολιν Ἀλεξάνδ̣ρ̣εια̣ν,31.1982456667,29.9079146667
281,ἀπὸ κώμης Ἀφροδίτη̣ς,26.833145,31.416623
282,Ἀφροδίτης̣ τῆς κώμης,26.833145,31.416623
283,κώμης Ἀφροδίτης,26.833145,31.416623
284,Ἀ̣ντα̣ίου,26.8992835,31.517443
285,Φιλ  Φιλιτιανοῖς?,24.025031,32.884252
286,Ἀνταίου,26.8992835,31.517443
287,εἰς Ἀντινόου,27.8105625,30.8810025
288,εἰς Ἀντινόου,27.8105625,30.8810025
289,Ἀνταίου,26.8992835,31.517443
290,εἰς Ἀ̣ντινόου,27.8105625,30.8810025
291,ἀπὸ? Τοετω,26.768177,31.498968
292,ε̣ἰ̣ς Ἀντ̣ινόου,27.8105625,30.8810025
293,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
294,κώμης Ἀφροδίτης,26.833145,31.416623
295,ἀπὸ κώμης Ἀφροτίδης sic,26.833145,31.416623
296,ἀπὸ Ἀνταίου,26.8992835,31.517443
297,Φθλα,26.919206,31.40847
298,Ἀνταιοπολιτικῶν,26.8992835,31.517443
299,κώμης̣ Φθλα,26.919206,31.40847
300,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
301,κώμης Φθλα,26.919206,31.40847
302,τῆς Πανὸς πόλεως,26.565878,31.746075
303,κωμῆς Φθλα,26.919206,31.40847
304,τῆς Πανός,26.565878,31.746075
305,ἀπὸ Ἀφρ̣ο̣δ̣ί̣τ̣ης,26.833145,31.416623
306,κώμης Φθαλ sic,26.919206,31.40847
307,ἀπὸ Ἀφροδίτης,26.833145,31.416623
308,κώμη̣ς̣ Ψιν̣αβλα,26.653194,31.600403
309,κώμης Ἀφροδίτης,26.833145,31.416623
310,τ̣ῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
311,ἀ̣πὸ κώμης Ἀφροδίτης̣,26.833145,31.416623
312,εἰς Τοετω,26.768177,31.498968
313,εἰς Ἀντινόου,27.8105625,30.8810025
